ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval
-sevczF5etI,30,40,"/m/025td0t,/m/04rlf,/t/dd00033","['folk', 'passionate sitar guitar', 'groovy bass', 'punchy kick', 'metallic percussive elements', 'short offbeat accordion chords', 'low quality', 'clicky keys', 'emotional']","The Folk song features a passionately played sitar guitar, groovy bass and short offbeat accordion chords, followed by metallic percussive elements and punchy kick. The recording is a bit lower in quality due to loud clicky keys sounds. It sounds passionate and emotional.",4,False,True
0J_2K1Gvruk,30,40,"/m/01xqw,/m/02fsn,/m/0l14_3","['cello music', 'bass', 'hand claps', 'shaker', 'kick drum', 'cello harmony', 'moderate tempo', 'no voices', 'instrumental', 'happy mood', 'music build-up']",This song features two cellos playing a melody in harmony. This is accompanied by hand claps on every alternate count of the bars. The bass plays the root notes of the chords. The kick drum is played at the intro. There are no voices in this song. This is an instrumental song with a happy feel. This song can be played in a luxury advertisement.,0,False,False
0i8VM_EooCs,30,40,"/m/02lkt,/m/04rlf,/m/07gxw","['finnish techno pop', 'polka', 'live performance', 'male vocal', 'female vocal', 'yodel-like singing', 'keyboard', 'bass', 'electronic drums', 'european', 'playful', 'vibrant', 'danceable', 'medium tempo']",This is a finnish techno pop piece with polka influences. There is a female vocalist in the lead singing rapidly in a manner that resembles yodeling. A male vocalist occasionally joins her at a lower pitch while singing the melody. The melodic background consists of a keyboard tune and a simple bass line. The rhythmic background is provided by an electronic disco drum beat. The atmosphere is playful and danceable. This piece could be used in the background of a comedic social media content. It could also be played at children's events.,9,True,True
0khKvVDyYV4,240,250,"/m/04rlf,/m/09x0r,/t/dd00031","['low quality', 'popping sounds', 'echoing female exhale sound', 'shimmering hi hats', 'happy', 'fun', 'sweet female vocal', 'humming', 'claps', 'punchy kick', 'shimmering bells melody', 'groovy bass guitar', 'in game audio', 'exciting']","The low quality recording features an in-game audio recording that features an echoing female exhale sound, shimmering hi hats, claps, shimmering bells melody and groovy bass guitar. In the second half of the loop, the song changes and there is a sweet female vocal humming a melody. It sounds exciting, happy and fun.",4,False,False
1YPYQP6yupA,30,40,"/m/04rlf,/t/dd00033","['low quality', 'snappy rimshots', 'shimmering hi hats', 'mellow piano chords', 'soft bass', 'punchy kick', 'passionate male vocal', 'emotional', 'passionate', 'heartfelt']","The low quality recording features a passionate male vocal singing over mellow piano chords, shimmering hi hats, snappy rimshots, punchy kick and soft bass. It sounds emotional, passionate and heartfelt.",4,False,False
1i1sbQOILb0,30,40,"/m/02p0sh1,/m/04rlf","['low quality', 'soulful', 'live performance', 'happy', 'traditional music', 'harmonizing female vocal', 'unbalanced stereo', 'shimmering hi hats', 'fat snare', 'groovy bass', 'short strings melody', 'boomy kick', 'shimmering tambourine']","The low quality recording features a live performance of traditional music and it consists of harmonizing female vocals singing over shimmering hi hats and tambourine hits, fat snare, boomy kick, groovy bass and short strings melody. The stereo image is unbalanced as the vocals are leaning towards the right channel of the stereo image. It sounds soulful and happy.",4,False,True
25Ccp8usBtE,30,40,"/m/02p0sh1,/m/04rlf","['low quality', 'noisy', 'distorted', 'groovy piano melody', 'harmonizing female vocal melody', 'happy', 'joyful', 'fun']","The low quality recording features a harmonizing female vocal melody singing over a groovy piano melody. It sounds happy, joyful and fun, even though the recording is very noisy - to the point that the audio is distorted.",4,False,False
2G5bSYHcJSM,30,40,"/m/04rlf,/t/dd00032","['low quality', 'weird instrumental', 'weird repetitive funny male vocal', 'chaotic', 'mono', 'filter modulated bass', 'tinny percussions', 'synth lead melody', 'punchy kick', 'rimshots']","The low quality recording features a weird repetitive, funny male vocal singing over a weird instrumental that consists of punchy kick and rimshots, tinny percussion, some synth lead melody and filter modulated bass. It sounds funny and it is in mono - almost like a prank song.",4,True,True
2dyxjGTXSpA,30,40,"/m/01c194,/m/04rlf","['male singer', 'slow tempo', 'foreign language', 'passionate', 'burgeoning music', 'eloquent vocals', 'emphatic', 'persuasive', 'sad vibe', 'keyboard harmony', 'church organ', 'minimalist', 'lilting melody', 'soft', 'mellow', 'emotional', 'passioante', 'intense']","A male vocalist sings this intense melody in a foreign language.The tempo is slow with a keyboard and organ accompaniment that is burgeoning as the song progresses. The vocals are eloquent, emphatic, persuasive and lilting and the vibe of the song is mellow, persuasive, passionate, emotional and appealing.",7,False,True
3VEMHWnewuc,10,20,"/m/04rlf,/t/dd00031","['female voice', 'fast tempo', 'choral harmony', 'charming', 'pleasant', 'simple', 'tranquil', 'soothing', 'keyboard accompaniment', 'sweet', 'mellifluous', 'melodic', 'vocalisation', 'sprightly acoustic guitar']","This song is an instrumental. The tempo is fast with an enthusiastic acoustic guitar melody, keyboard accompaniment and a mellifluous female vocalisation with choral harmony. The music is rhythmic, youthful, simple,beautiful, charming, soothing, pleasant, charming, and tranquil.",7,False,False
